NAME,MODEL,DATE,EPOCH,EPSILON,AVERAGE LOSS,AVERAGE RETURN,PATH
2022917712x1325,dqn_12x13,2022-09-17 08:41:56.607701,16,0.3229086274141116,17.66516876220703,39.973751068115234,./weights/d12by13.h5
2022917712x1325,dqn_12x13,2022-09-17 08:47:34.514540,17,0.3028704966885258,18.990110397338867,40.104373931884766,./weights/d12by13.h5
2022917712x1325,dqn_12x13,2022-09-17 08:53:27.658006,18,0.2840758343898791,19.40130043029785,40.32437515258789,./weights/d12by13.h5
2022917712x1325,dqn_12x13,2022-09-17 08:59:43.901675,19,0.2664474769468798,18.304794311523438,41.319374084472656,./weights/d12by13.h5
202291706x72,dqn_6x7,2022-09-17 00:25:30.950582,1,0.8441504000761825,67.86414337158203,20.834999084472656,./weights/6by7_51epochs.h5
202291706x72,dqn_6x7,2022-09-17 00:30:03.655374,2,0.7917665532764211,71.9233627319336,20.856874465942383,./weights/6by7_51epochs.h5
202291706x7100,dqn_6x7,2022-09-17 00:55:55.927896,1,0.8441504000761825,70.22569274902344,21.14875030517578,./weights/6by7_51epochs.h5
202291706x7100,dqn_6x7,2022-09-17 01:00:20.662646,2,0.7917665532764211,68.3597183227539,21.326875686645508,./weights/6by7_51epochs.h5
202291706x7100,dqn_6x7,2022-09-17 01:04:42.994403,3,0.7426333919058121,69.29373931884766,21.215625762939453,./weights/6by7_51epochs.h5
202291706x7100,dqn_6x7,2022-09-17 01:08:49.174968,4,0.6965491943191375,67.93754577636719,21.209375381469727,./weights/6by7_51epochs.h5
202291706x7100,dqn_6x7,2022-09-17 01:13:27.417736,5,0.6533247567302695,62.84386444091797,21.31312561035156,./weights/6by7_51epochs.h5
202291706x7100,dqn_6x7,2022-09-17 01:20:05.690253,6,0.6127826164150351,63.94966125488281,21.783750534057617,./weights/6by7_51epochs.h5
202291706x7100,dqn_6x7,2022-09-17 01:26:04.557787,7,0.574756323118313,63.44126510620117,22.29312515258789,./weights/6by7_51epochs.h5
202291706x7100,dqn_6x7,2022-09-17 01:33:17.561402,8,0.5390897556740439,64.8836898803711,21.977500915527344,./weights/6by7_51epochs.h5
202291706x7100,dqn_6x7,2022-09-17 01:39:49.810745,9,0.5056364810324618,65.90464782714844,22.37437438964844,./weights/6by7_51epochs.h5
202291706x7100,dqn_6x7,2022-09-17 01:46:30.635349,10,0.4742591530629619,62.08784103393555,22.639375686645508,./weights/6by7_51epochs.h5
202291706x7100,dqn_6x7,2022-09-17 01:52:04.614776,11,0.4448289486643231,60.22671127319336,22.768125534057617,./weights/6by7_51epochs.h5
202291716x7200,dqn_6x7,2022-09-17 01:57:32.918758,1,0.8441504000761825,69.20889282226562,20.981250762939453,./weights/6by7_51epochs.h5
202291716x7200,dqn_6x7,2022-09-17 02:01:25.328778,2,0.7917665532764211,67.93616485595703,20.893749237060547,./weights/6by7_51epochs.h5
